MatchId;GameName;GameSettings;PlayerId;PlayerName;TimeSettings;Points;PlayerId;PlayerName;TimeSettings;Points
96;AntiKingChess;;0;BasicKI;120000,0;0;3;BasicKI;120000,0;1
97;AntiKingChess;;4;Group06BasicKI;120000,0;1;2;Group04Ki;120000,0;0
98;AntiKingChess;;5;BasicKI;120000,0;0;1;KartoffelKI;120000,0;1
99;AntiKingChess;;0;BasicKI;120000,0;0;2;Group04Ki;120000,0;1
100;AntiKingChess;;3;BasicKI;120000,0;0;1;KartoffelKI;120000,0;0
101;AntiKingChess;;5;BasicKI;120000,0;0;6;Nidoran;120000,0;0
102;AntiKingChess;;0;BasicKI;120000,0;0;1;KartoffelKI;120000,0;0
103;AntiKingChess;;3;BasicKI;120000,0;0;6;Nidoran;120000,0;1
104;AntiKingChess;;4;Group06BasicKI;120000,0;1;5;BasicKI;120000,0;0
105;AntiKingChess;;6;Nidoran;120000,0;0;1;KartoffelKI;120000,0;0
106;AntiKingChess;;5;BasicKI;120000,0;0;2;Group04Ki;120000,0;0
107;AntiKingChess;;4;Group06BasicKI;120000,0;1;3;BasicKI;120000,0;0
108;AntiKingChess;;6;Nidoran;120000,0;0;0;BasicKI;120000,0;0
109;AntiKingChess;;4;Group06BasicKI;120000,0;0;1;KartoffelKI;120000,0;1
110;AntiKingChess;;3;BasicKI;120000,0;0;2;Group04Ki;120000,0;0
111;AntiKingChess;;5;BasicKI;120000,0;1;0;BasicKI;120000,0;0
112;AntiKingChess;;4;Group06BasicKI;120000,0;0;6;Nidoran;120000,0;0
113;AntiKingChess;;2;Group04Ki;120000,0;0;1;KartoffelKI;120000,0;1
114;AntiKingChess;;4;Group06BasicKI;120000,0;1;0;BasicKI;120000,0;0
115;AntiKingChess;;3;BasicKI;120000,0;0;5;BasicKI;120000,0;0
116;AntiKingChess;;2;Group04Ki;120000,0;0;6;Nidoran;120000,0;0
117;AntiKingChess;;3;BasicKI;120000,0;0;0;BasicKI;120000,0;1
118;AntiKingChess;;2;Group04Ki;120000,0;0;4;Group06BasicKI;120000,0;0
119;AntiKingChess;;1;KartoffelKI;120000,0;1;5;BasicKI;120000,0;0
120;AntiKingChess;;2;Group04Ki;120000,0;0;0;BasicKI;120000,0;1
121;AntiKingChess;;1;KartoffelKI;120000,0;0;3;BasicKI;120000,0;0
122;AntiKingChess;;6;Nidoran;120000,0;1;5;BasicKI;120000,0;0
123;AntiKingChess;;1;KartoffelKI;120000,0;0;0;BasicKI;120000,0;0
124;AntiKingChess;;6;Nidoran;120000,0;0;3;BasicKI;120000,0;0
125;AntiKingChess;;5;BasicKI;120000,0;0;4;Group06BasicKI;120000,0;1
